Benchmark Problem,Paradigm,Description,Precision,Hardware,Problem Size,Iterations,Wall Clock Time,CPU Time,Kernel Time,Neighbor Search Time,Position Update Time,Velocity Update Time,Force Update Time,Time Unit
MatrixMultiplication,OpenCL,,32,AMD Instinct MI210,512.0,1680.0,825520.1982267733,364680.97916666657,310083.88154761906,,,,,ns
MatrixMultiplication,OpenCL,,32,AMD Instinct MI210,1024.0,670.0,2872721.4583612755,1062151.4432835816,1440011.2104477612,,,,,ns
MatrixMultiplication,OpenCL,,32,AMD Instinct MI210,2048.0,340.0,18872890.229720403,2056198.4176470605,14775575.747058824,,,,,ns
MatrixMultiplication,OpenCL,,32,AMD Instinct MI210,4096.0,80.0,145408890.224644,8731593.687500006,122494017.975,,,,,ns
MatrixMultiplication,OpenCL,,32,AMD Instinct MI210,8192.0,10.0,1030594909.4006792,29142781.899999905,969055349.6,,,,,ns
MatrixMultiplication,OpenCL,,32,AMD Instinct MI210,16384.0,1.0,8000077184.988186,122101004.00000101,7769282407.0,,,,,ns
MatrixMultiplication,OpenMP,,32,AMD Instinct MI210,32.0,5832.0,120528.95593318311,120448.18912894376,119694.75240054869,,,,,ns
MatrixMultiplication,OpenMP,,32,AMD Instinct MI210,64.0,3291.0,210626.6371867317,210507.7863871163,208727.0777879064,,,,,ns
MatrixMultiplication,OpenMP,,32,AMD Instinct MI210,128.0,2726.0,270346.03116004803,258913.04548789436,263517.7384446075,,,,,ns
MatrixMultiplication,OpenMP,,32,AMD Instinct MI210,256.0,2559.0,287435.4927863558,282583.3485736615,269395.58186791715,,,,,ns
MatrixMultiplication,OpenMP,,32,AMD Instinct MI210,512.0,149.0,8060749.758491229,4609090.489932889,6550302.812080537,,,,,ns
MatrixMultiplication,OpenMP,,32,AMD Instinct MI210,1024.0,80.0,12872961.949324235,8891716.875,10067284.4,,,,,ns
MatrixMultiplication,OpenMP,,32,AMD Instinct MI210,2048.0,52.0,45823080.94205263,13605734.346153855,40302308.25,,,,,ns
MatrixMultiplication,OpenMP,,32,AMD Instinct MI210,4096.0,10.0,297198929.50961363,27459747.900000054,283716796.0,,,,,ns
MatrixMultiplication,OpenMP,,32,AMD Instinct MI210,8192.0,6.0,2331675563.841903,85925242.00000007,2270011545.8333335,,,,,ns
MatrixMultiplication,OpenMP,,32,AMD Instinct MI210,16384.0,1.0,18663198761.991226,328979399.9999944,18432407892.0,,,,,ns
MatrixMultiplication,RAJA,,32,AMD Instinct MI210,32.0,9031.0,78224.63970972499,78148.20296755618,30629.202303177943,,,,,ns
MatrixMultiplication,RAJA,,32,AMD Instinct MI210,64.0,6748.0,105186.93250880555,105013.35684647305,39205.97599288678,,,,,ns
MatrixMultiplication,RAJA,,32,AMD Instinct MI210,128.0,3739.0,187909.23856053324,187816.2848355175,64869.54025140412,,,,,ns
MatrixMultiplication,RAJA,,32,AMD Instinct MI210,256.0,1402.0,509174.2569907501,506510.3223965766,106061.34236804565,,,,,ns
MatrixMultiplication,RAJA,,32,AMD Instinct MI210,512.0,376.0,1863944.809883833,1861016.6436170228,317302.6117021277,,,,,ns
MatrixMultiplication,RAJA,,32,AMD Instinct MI210,1024.0,221.0,3131098.75871585,3125210.4705882347,1493374.552036199,,,,,ns
MatrixMultiplication,RAJA,,32,AMD Instinct MI210,2048.0,33.0,20523838.783529673,20510380.21212123,14260528.121212121,,,,,ns
MatrixMultiplication,RAJA,,32,AMD Instinct MI210,4096.0,5.0,137145032.91994333,136728945.99999985,113933693.6,,,,,ns
MatrixMultiplication,RAJA,,32,AMD Instinct MI210,8192.0,1.0,1012552788.4811163,1010958718.0000013,918090017.0,,,,,ns
MatrixMultiplication,RAJA,,32,AMD Instinct MI210,16384.0,1.0,7705770572.647452,7694390411.000001,7363095854.0,,,,,ns
MatrixMultiplication,Stdpar,,32,AMD Instinct MI210,32.0,12906.0,54898.377096313074,54598.126375329295,54420.372152487216,,,,,ns
MatrixMultiplication,Stdpar,,32,AMD Instinct MI210,64.0,7698.0,93918.60355046949,93790.81410756042,92530.81605611848,,,,,ns
MatrixMultiplication,Stdpar,,32,AMD Instinct MI210,128.0,2520.0,224786.78840256872,224704.98333333337,221523.70555555556,,,,,ns
MatrixMultiplication,Stdpar,,32,AMD Instinct MI210,256.0,407.0,2441953.2361136023,2440976.4152334146,2412743.036855037,,,,,ns
MatrixMultiplication,Stdpar,,32,AMD Instinct MI210,512.0,52.0,12986006.071934333,12975499.346153837,12931954.211538462,,,,,ns
MatrixMultiplication,Stdpar,,32,AMD Instinct MI210,1024.0,1.0,519980938.1738305,519204665.99999934,515731111.0,,,,,ns
MatrixMultiplication,Stdpar,,32,AMD Instinct MI210,2048.0,7.0,3381041688.711516,3378128869.571429,3376170357.857143,,,,,ns
MatrixMultiplication,Stdpar,,32,AMD Instinct MI210,4096.0,1.0,562616008.3338618,535405623.0000026,497142268.0,,,,,ns
MatrixMultiplication,Stdpar,,32,AMD Instinct MI210,8192.0,1.0,3302902814.000845,3203174351.9999976,3044709439.0,,,,,ns
MatrixMultiplication,Stdpar,,32,AMD Instinct MI210,16384.0,1.0,21708748258.650303,21319740983.999992,20695965709.0,,,,,ns
NBody,AdaptiveCpp,,32,AMD Instinct MI210,10.0,10.0,73042361.19380221,72788012.0,,0.0,9412757.0,10045669.3,12527185.7,ns
NBody,AdaptiveCpp,,32,AMD Instinct MI210,100.0,7.0,103561039.9973978,103216801.14285715,,0.0,9861048.57142857,9124841.42857143,43146392.14285714,ns
NBody,AdaptiveCpp,,32,AMD Instinct MI210,1000.0,2.0,402790869.9936234,402435922.9999999,,0.0,10315303.0,12520111.5,339194085.0,ns
NBody,AdaptiveCpp,,32,AMD Instinct MI210,10000.0,1.0,3396920694.9695945,3392496970.9999995,,0.0,26768052.0,21899239.0,3305568611.0,ns
NBody,AdaptiveCpp,,32,AMD Instinct MI210,100000.0,1.0,80111044273.94456,80033930776.0,,0.0,220933227.0,140297762.0,79695458888.0,ns
NBody,Alpaka,,32,AMD Instinct MI210,10.0,17.0,40636003.23656026,40612304.941176474,,0.0,12549353.176470589,11706895.470588235,14066053.176470589,ns
NBody,Alpaka,,32,AMD Instinct MI210,100.0,9.0,81726256.88732499,81576557.0,,0.0,14072475.222222222,13008472.666666666,52315283.777777776,ns
NBody,Alpaka,,32,AMD Instinct MI210,1000.0,1.0,1643072731.0944347,1642249586.0000002,,0.0,19039156.0,17470074.0,1604072791.0,ns
NBody,Alpaka,,32,AMD Instinct MI210,10000.0,1.0,16554501514.066942,16530894302.0,,0.0,20473258.0,20054589.0,16486639636.0,ns
NBody,Alpaka,,32,AMD Instinct MI210,100000.0,1.0,230914442609.06427,230711735238.00003,,0.0,27924512.0,26049176.0,230851692575.0,ns
NBody,Boost,,32,AMD Instinct MI210,10.0,31.0,63371089.613816194,24208270.677419353,,0.0,2960849.6774193547,2471137.5483870967,5184450.741935484,ns
NBody,Boost,,32,AMD Instinct MI210,100.0,30.0,92220495.73048328,23456700.099999998,,0.0,3562981.8,3262168.533333333,33881944.9,ns
NBody,Boost,,32,AMD Instinct MI210,1000.0,10.0,425430250.59858334,32817417.299999982,,0.0,5015499.9,4572905.4,322995415.8,ns
NBody,Boost,,32,AMD Instinct MI210,10000.0,1.0,4094153416.92511,54712034.99999966,,0.0,5473778.0,5151229.0,3903934363.0,ns
NBody,Boost,,32,AMD Instinct MI210,100000.0,1.0,257984289562.9117,96166105.0,,0.0,10483487.0,8589768.0,257591418487.0,ns
NBody,Hip,,32,AMD Instinct MI210,10.0,13.0,53010656.84761853,52797738.307692304,,0.0,8018700.575778404,7649334.497463245,149.85357612944566,ns
NBody,Hip,,32,AMD Instinct MI210,100.0,10.0,74980011.00029796,73796776.5,,0.0,8616817.17960164,8341375.541873276,441.213473495841,ns
NBody,Hip,,32,AMD Instinct MI210,1000.0,2.0,443256669.0375097,442582980.99999994,,0.0,12701754.523906857,11990949.612110853,5877.830377101898,ns
NBody,Hip,,32,AMD Instinct MI210,10000.0,16.0,39295971.69189946,39267088.99999998,,0.0,3951613.1793352542,3996381.930701318,63.258911872282624,ns
NBody,Hip,,32,AMD Instinct MI210,100000.0,18.0,38090496.388677925,38051515.55555556,,0.0,3934023.7464315984,3922964.578921286,62.90154969899191,ns
NBody,Kokkos,Naive,32,AMD Instinct MI210,10.0,17.0,41524368.351982795,41505399.352941185,,0.0,13667256.352941176,12152530.294117646,15079764.235294119,ns
NBody,Kokkos,Naive,32,AMD Instinct MI210,100.0,11.0,65959250.00411543,65822674.454545476,,0.0,14745208.363636363,14116711.181818182,36467632.36363637,ns
NBody,Kokkos,Naive,32,AMD Instinct MI210,1000.0,2.0,304050175.5313016,303920148.0,,0.0,17946259.0,16257254.5,269191762.0,ns
NBody,Kokkos,Naive,32,AMD Instinct MI210,10000.0,1.0,2623677862.924524,2613941598.0000005,,0.0,17975272.0,16589925.0,2562589690.0,ns
NBody,Kokkos,Naive,32,AMD Instinct MI210,100000.0,1.0,44631060585.96168,44588243974.0,,0.0,24097862.0,21760989.0,44580522453.0,ns
NBody,Kokkos,Reduction,32,AMD Instinct MI210,10.0,17.0,41038769.29730177,41009666.76470568,,0.0,13586418.588235294,12111357.176470589,14719821.823529411,ns
NBody,Kokkos,Reduction,32,AMD Instinct MI210,100.0,16.0,43873286.9370142,43851211.187500015,,0.0,14484357.25,13290207.5625,15487217.875,ns
NBody,Kokkos,Reduction,32,AMD Instinct MI210,1000.0,11.0,60920985.81773991,60885104.90909145,,0.0,17670618.90909091,16056350.272727273,26549193.0,ns
NBody,Kokkos,Reduction,32,AMD Instinct MI210,10000.0,1.0,624188889.0508562,623908342.9999965,,0.0,17559896.0,16080404.0,589660769.0,ns
NBody,Kokkos,Reduction,32,AMD Instinct MI210,100000.0,1.0,52783542779.04145,52738250849.0,,0.0,24149919.0,21996122.0,52732213469.0,ns
NBody,OpenCL,,32,AMD Instinct MI210,10.0,353.0,15218342.042649455,2625564.2719546747,,0.0,1.8446744073574978e+19,0.0,4.691249605107712e+16,ns
NBody,OpenCL,,32,AMD Instinct MI210,100.0,100.0,44386660.05036794,4884795.939999998,,0.0,1.8446744073574894e+19,96000.0,4.691249605107712e+16,ns
NBody,OpenCL,,32,AMD Instinct MI210,1000.0,10.0,332730964.19870853,5282659.899999986,,0.0,1.8446744073574937e+19,992000.0,4.691249605107712e+16,ns
NBody,OpenCL,,32,AMD Instinct MI210,10000.0,1.0,3975712509.942241,2737111.00000007,,0.0,1.8446744073585162e+19,9984000.0,4.691249605107712e+16,ns
NBody,OpenCL,,32,AMD Instinct MI210,100000.0,1.0,257868211367.05112,5907402.0000000615,,0.0,1.8446744073675184e+19,99984000.0,4.691249605107712e+16,ns
NBody,OpenMP,Naive,32,AMD Instinct MI210,10.0,13.0,54614058.23007226,54589031.69230768,,0.0,28470667.384615384,11770743.538461538,14198470.615384616,ns
NBody,OpenMP,Naive,32,AMD Instinct MI210,100.0,3.0,206600297.66925922,203930325.33333334,,0.0,36990119.666666664,19316704.0,150102702.66666666,ns
NBody,OpenMP,Naive,32,AMD Instinct MI210,1000.0,1.0,2916480665.9100575,2282976628.0000005,,0.0,48838800.0,24662427.0,2842480405.0,ns
NBody,OpenMP,Naive,32,AMD Instinct MI210,10000.0,1.0,28385401392.006317,2368840451.0000005,,0.0,95230104.0,42181133.0,28246246642.0,ns
NBody,OpenMP,Naive,32,AMD Instinct MI210,100000.0,1.0,118155017356.97035,2384046292.0,,0.0,98894418.0,43178807.0,118002311832.0,ns
NBody,RAJA,Naive,32,AMD Instinct MI210,10.0,18.0,38613716.50257044,38565179.111111104,,0.0,12137403.166666666,12061494.222222222,14230192.111111112,ns
NBody,RAJA,Naive,32,AMD Instinct MI210,100.0,12.0,61765962.901214756,61744367.08333334,,0.0,13208076.583333334,13273794.25,35108008.333333336,ns
NBody,RAJA,Naive,32,AMD Instinct MI210,1000.0,2.0,272550256.4571798,272422534.0000002,,0.0,16221072.5,15996063.5,240104060.5,ns
NBody,RAJA,Naive,32,AMD Instinct MI210,10000.0,1.0,2370297010.0566745,2366935925.0,,0.0,16329984.0,15863021.0,2308052014.0,ns
NBody,RAJA,Naive,32,AMD Instinct MI210,100000.0,1.0,44063816548.32512,44023815094.0,,0.0,24989109.0,20201202.0,44011743735.0,ns
NBody,Stdpar,,32,AMD Instinct MI210,10.0,10.0,67147388.86803389,67111227.49999999,,0.0,31368387.0,17476366.3,18212780.2,ns
NBody,Stdpar,,32,AMD Instinct MI210,100.0,2.0,290239862.1663451,288048850.50000006,,0.0,155352982.0,76956611.0,57827930.0,ns
NBody,Stdpar,,32,AMD Instinct MI210,1000.0,1.0,1952875750.1393557,1951274526.0000002,,0.0,887220405.0,617781035.0,447665060.0,ns
NBody,Stdpar,,32,AMD Instinct MI210,10000.0,1.0,10478588798.083364,10469610493.000002,,0.0,4811557936.0,1596083358.0,4069349608.0,ns
NBody,Stdpar,,32,AMD Instinct MI210,100000.0,1.0,133347882547.41579,133241478680.99998,,0.0,50755384520.0,17004402704.0,65581342444.0,ns
Polyhedral,AdaptiveCpp,Eros,32,AMD Instinct MI210,14744.0,9740.0,67554.41427230835,67444.33121149897,,,,,,ns
Polyhedral,AdaptiveCpp,67P_ESA_NAVCAM_Jul2015data_256k,32,AMD Instinct MI210,255932.0,5607.0,125342.86141105228,124875.62671660427,,,,,,ns
Polyhedral,AdaptiveCpp,25143_Itokawa_200k,32,AMD Instinct MI210,196608.0,6178.0,112343.83035692974,112229.34040142436,,,,,,ns
Polyhedral,AdaptiveCpp,a8567,32,AMD Instinct MI210,2780.0,10991.0,64190.73923938935,63758.61877900097,,,,,,ns
Polyhedral,AdaptiveCpp,SHAPE_SFM_3M_v20180804,32,AMD Instinct MI210,3145728.0,942.0,728023.7485077273,727284.0976645447,,,,,,ns
Polyhedral,AdaptiveCpp,4179toutatis,32,AMD Instinct MI210,12796.0,10705.0,64278.092859108445,64158.87641289125,,,,,,ns
Polyhedral,AdaptiveCpp,hartley2_2012_cart,32,AMD Instinct MI210,32040.0,8671.0,79229.29616209122,79109.09145427302,,,,,,ns
Polyhedral,Alpaka,Eros,32,AMD Instinct MI210,14744.0,5896.0,117884.34175641138,117826.3765264586,,,,,,ns
Polyhedral,Alpaka,67P_ESA_NAVCAM_Jul2015data_256k,32,AMD Instinct MI210,255932.0,713.0,982883.2089968893,981707.4866760172,,,,,,ns
Polyhedral,Alpaka,25143_Itokawa_200k,32,AMD Instinct MI210,196608.0,938.0,749045.0351276617,745966.5543710017,,,,,,ns
Polyhedral,Alpaka,a8567,32,AMD Instinct MI210,2780.0,12434.0,56072.631980417886,56038.32756956725,,,,,,ns
Polyhedral,Alpaka,SHAPE_SFM_3M_v20180804,32,AMD Instinct MI210,3145728.0,41.0,16903751.3906227,16495004.731707312,,,,,,ns
Polyhedral,Alpaka,4179toutatis,32,AMD Instinct MI210,12796.0,6283.0,111363.46983870237,111302.86280439267,,,,,,ns
Polyhedral,Alpaka,hartley2_2012_cart,32,AMD Instinct MI210,32040.0,3887.0,178784.54926600793,178658.2564960125,,,,,,ns
Polyhedral,Boost,Eros,32,AMD Instinct MI210,14744.0,32987.0,79825.02391782479,21563.36926668081,,,,,,ns
Polyhedral,Boost,67P_ESA_NAVCAM_Jul2015data_256k,32,AMD Instinct MI210,255932.0,21397.0,223547.14908166285,32721.027994578668,,,,,,ns
Polyhedral,Boost,25143_Itokawa_200k,32,AMD Instinct MI210,196608.0,22665.0,190000.04037036202,31047.673858371898,,,,,,ns
Polyhedral,Boost,a8567,32,AMD Instinct MI210,2780.0,57506.0,77113.30723585971,21145.927207595716,,,,,,ns
Polyhedral,Boost,SHAPE_SFM_3M_v20180804,32,AMD Instinct MI210,3145728.0,7659.0,1794611.1882676496,63392.454236844926,,,,,,ns
Polyhedral,Boost,4179toutatis,32,AMD Instinct MI210,12796.0,50341.0,79481.78884042082,21007.103394847163,,,,,,ns
Polyhedral,Boost,hartley2_2012_cart,32,AMD Instinct MI210,32040.0,34484.0,75290.24930654437,12304.562202760777,,,,,,ns
Polyhedral,Hip,Eros,32,AMD Instinct MI210,14744.0,5324.0,131128.02740944247,131052.37359128472,,,,,,ns
Polyhedral,Hip,67P_ESA_NAVCAM_Jul2015data_256k,32,AMD Instinct MI210,255932.0,950.0,695088.6726477429,694420.1978947371,,,,,,ns
Polyhedral,Hip,25143_Itokawa_200k,32,AMD Instinct MI210,196608.0,1269.0,553671.2190522347,552419.3995271871,,,,,,ns
Polyhedral,Hip,a8567,32,AMD Instinct MI210,2780.0,10273.0,68326.29115621997,68282.12781076609,,,,,,ns
Polyhedral,Hip,SHAPE_SFM_3M_v20180804,32,AMD Instinct MI210,3145728.0,58.0,12225995.500620198,12082860.534482755,,,,,,ns
Polyhedral,Hip,4179toutatis,32,AMD Instinct MI210,12796.0,7240.0,96952.31616728584,96885.03991712684,,,,,,ns
Polyhedral,Hip,hartley2_2012_cart,32,AMD Instinct MI210,32040.0,3996.0,154512.44844890034,154426.1011011015,,,,,,ns
Polyhedral,Kokkos,Eros,32,AMD Instinct MI210,14744.0,7551.0,92662.99086063805,92209.9766918289,,,,,,ns
Polyhedral,Kokkos,67P_ESA_NAVCAM_Jul2015data_256k,32,AMD Instinct MI210,255932.0,4750.0,148428.56842044153,148230.5176842106,,,,,,ns
Polyhedral,Kokkos,25143_Itokawa_200k,32,AMD Instinct MI210,196608.0,5683.0,122875.62520879242,122790.41122646492,,,,,,ns
Polyhedral,Kokkos,a8567,32,AMD Instinct MI210,2780.0,7648.0,93043.21298320197,92955.35342573217,,,,,,ns
Polyhedral,Kokkos,SHAPE_SFM_3M_v20180804,32,AMD Instinct MI210,3145728.0,936.0,697839.9060322291,697370.9369658147,,,,,,ns
Polyhedral,Kokkos,4179toutatis,32,AMD Instinct MI210,12796.0,7375.0,96044.84529502816,95907.54996610142,,,,,,ns
Polyhedral,Kokkos,hartley2_2012_cart,32,AMD Instinct MI210,32040.0,7566.0,92447.23182600932,92395.37774253222,,,,,,ns
Polyhedral,OpenCL,Eros,32,AMD Instinct MI210,14744.0,37650.0,67520.14887094952,18821.3232934927,,,,,,ns
Polyhedral,OpenCL,67P_ESA_NAVCAM_Jul2015data_256k,32,AMD Instinct MI210,255932.0,38832.0,192615.6760679407,19558.118510506818,,,,,,ns
Polyhedral,OpenCL,25143_Itokawa_200k,32,AMD Instinct MI210,196608.0,22484.0,166498.67336794615,22494.99817648107,,,,,,ns
Polyhedral,OpenCL,a8567,32,AMD Instinct MI210,2780.0,39557.0,60540.43339926417,18064.256869833403,,,,,,ns
Polyhedral,OpenCL,SHAPE_SFM_3M_v20180804,32,AMD Instinct MI210,3145728.0,8872.0,1775302.3027479767,60110.3378043282,,,,,,ns
Polyhedral,OpenCL,4179toutatis,32,AMD Instinct MI210,12796.0,39299.0,62802.85037713017,18125.476398890536,,,,,,ns
Polyhedral,OpenCL,hartley2_2012_cart,32,AMD Instinct MI210,32040.0,56950.0,65656.4594197387,12653.585513608401,,,,,,ns
Polyhedral,OpenMP,Eros,32,AMD Instinct MI210,14744.0,2421.0,288934.97441877995,288607.65716646006,,,,,,ns
Polyhedral,OpenMP,67P_ESA_NAVCAM_Jul2015data_256k,32,AMD Instinct MI210,255932.0,692.0,1021475.5853309667,1007701.1936416191,,,,,,ns
Polyhedral,OpenMP,25143_Itokawa_200k,32,AMD Instinct MI210,196608.0,827.0,825628.7932533324,825167.012091899,,,,,,ns
Polyhedral,OpenMP,a8567,32,AMD Instinct MI210,2780.0,2415.0,295445.7432907036,287549.12049689423,,,,,,ns
Polyhedral,OpenMP,SHAPE_SFM_3M_v20180804,32,AMD Instinct MI210,3145728.0,225.0,10219388.955479695,3119167.591111104,,,,,,ns
Polyhedral,OpenMP,4179toutatis,32,AMD Instinct MI210,12796.0,2187.0,325630.7874184918,317786.42249657,,,,,,ns
Polyhedral,OpenMP,hartley2_2012_cart,32,AMD Instinct MI210,32040.0,2083.0,343665.609212679,333790.32933269406,,,,,,ns
